Gen:        Individual:       Power:        Sensors:      Fairness:       Fitness
1             1               9.0845          52            29            6.19 
1             2               10.4755         47            33.5          6.04 
1             3               9.79575         42            25.0          3.98 
1             4               12.24975        38            40.5          9.32 
1             5               10.2295         44            29.0          5.68 
1             6               8.34275         50            26            2.79 
1             7               7.5805          56            17.5          0.71 
1             8               8.02225         57            18.5          1.69 
1             9               10.279          39            27.5          2.39 
1             10              11.09225        37            36            4.13 
1             11              10.2715         43            32            4.05 
1             12              10.14225        39            31.0          3.62 
1             13              9.0255          51            26.5          3.31 
1             14              8.8765          52            24.0          3.15 
1             15              7.17            56            17.0          0.5  
1             16              8.55175         47            28.0          4.75 
1             17              8.10975         49            21.0          2.71 
1             18              9.52575         46            23.0          2.71 
1             19              8.56925         59            23.5          3.31 
1             20              10.6095         42            32.0          5.0  
1             21              7.37475         57            19.5          1.92 
1             22              8.09225         51            18.0          5.13 
1             23              9.15625         48            25.0          3.35 
1             24              9.83825         45            28.5          3.38 
1             25              8.6985          52            23.5          3.02 
1             26              8.6245          50            33            7.7  
1             27              10.50425        42            29.0          3.88 
1             28              7.81825         46            19.0          1.87 
1             29              8.34375         51            28.0          4.04 
1             30              7.714           55            17.5          1.64 
1             31              11.02825        37            33            3.07 
1             32              7.323           56            19.5          3.65 
1             33              7.80425         55            21.0          3.59 
1             34              8.4765          45            22.0          3.91 
1             35              11.024          39            29.0          5.86 
1             36              12.498          37            31.0          6.53 
2             1               9.882           42            28            6.18 
2             2               9.24925         45            25.5          4.75 
2             3               9.79575         42            25.0          4.87 
2             4               11.77075        39            38.5          8.86 
2             5               8.4205          51            26            3.4  
2             6               8.237           50            26            3.17 
2             7               7.5805          56            17.5          1.14 
2             8               7.988           56            18.0          1.89 
2             9               10.279          39            27.5          3.55 
2             10              10.97275        36            36            4.1  
2             11              8.47375         46            29            2.87 
2             12              10.29725        34            28.5          3.42 
2             13              8.68925         51            25.5          3.15 
2             14              8.4425          53            23.5          3.01 
2             15              7.17            56            17.0          0.55 
2             16              11.37425        37            34.5          4.2  
